Estudiante_ID,Edad,Genero,Comuna,Nota_Matemáticas,Nota_Lenguaje,Nota_Ciencias
222,22,masculino,San Pedro,67,99,81
223,20,masculino,Tomé,50,67,73
224,18,masculino,San Pedro,23,72,60
225,18,femenino,Arauco,93,56,21
226,18,femenino,Coronel,72,89,86
227,29,prefiero no decirlo,Arauco,14,41,48
228,19,masculino,Tomé,44,27,55
229,25,masculino,Hualpén,16,43,10
230,28,prefiero no decirlo,San Pedro,95,61,40
231,29,masculino,Lota,59,57,54
232,28,prefiero no decirlo,Coronel,55,69,97
233,29,femenino,Lota,80,73,73
234,18,masculino,San Pedro,50,51,28
235,26,femenino,Arauco,82,76,54
236,28,masculino,Lota,37,78,76
237,27,prefiero no decirlo,Lota,32,89,48
238,20,prefiero no decirlo,Penco,74,58,95
239,18,prefiero no decirlo,Lota,77,75,89
240,18,femenino,Penco,80,7,32
241,21,femenino,Penco,94,60,4
242,24,femenino,Lota,16,31,94
243,29,femenino,Concepción,8,24,58
244,26,femenino,Hualpén,70,57,2
245,29,prefiero no decirlo,Concepción,1,96,6
246,18,prefiero no decirlo,Lota,63,30,96
247,22,masculino,Arauco,85,93,53
248,21,masculino,Coronel,98,82,60
249,23,femenino,Penco,57,40,50
250,20,prefiero no decirlo,San Pedro,26,56,30
251,21,femenino,Penco,70,76,18
252,21,masculino,San Pedro,38,24,6
253,20,masculino,Coronel,47,4,86
254,28,prefiero no decirlo,San Pedro,17,58,28
255,26,prefiero no decirlo,Concepción,37,29,43
256,20,femenino,Tomé,82,34,77
257,23,prefiero no decirlo,Hualpén,40,69,47
258,26,prefiero no decirlo,Hualpén,94,60,27
259,20,femenino,Coronel,22,2,3
260,27,masculino,San Pedro,59,15,3
261,21,prefiero no decirlo,Hualpén,44,86,39
262,21,femenino,Concepción,48,35,23
263,25,femenino,San Pedro,97,74,98
264,28,prefiero no decirlo,Concepción,13,50,93
265,26,femenino,Concepción,59,49,58
266,22,prefiero no decirlo,Penco,88,25,56
267,26,masculino,Coronel,5,24,96
268,20,prefiero no decirlo,Concepción,34,64,78
269,23,prefiero no decirlo,Coronel,88,69,8
270,18,masculino,San Pedro,18,83,43
271,18,prefiero no decirlo,Concepción,49,62,45
272,29,femenino,Tomé,71,17,68
273,22,masculino,Tomé,34,76,93
274,24,masculino,Penco,9,69,71
275,18,femenino,Tomé,33,62,73
276,28,prefiero no decirlo,Concepción,76,58,6
277,23,prefiero no decirlo,Tomé,37,45,42
278,23,femenino,San Pedro,88,91,78
279,23,femenino,Arauco,90,9,91
280,21,masculino,Tomé,20,21,86
281,20,masculino,San Pedro,11,25,12
282,27,femenino,Penco,98,32,52
283,20,masculino,Penco,25,22,82
284,26,femenino,Arauco,85,93,22
285,18,femenino,Concepción,40,13,51
286,18,masculino,San Pedro,15,96,8
287,27,masculino,Tomé,86,14,52
288,19,prefiero no decirlo,Arauco,97,3,69
289,18,masculino,Hualpén,89,13,31
290,23,masculino,Arauco,83,9,43
291,18,femenino,Penco,28,35,31
292,25,masculino,San Pedro,96,22,24
293,24,masculino,Hualpén,19,89,11
294,18,masculino,Arauco,58,40,79
295,18,femenino,Lota,98,88,78
296,18,masculino,Hualpén,22,30,45
297,26,prefiero no decirlo,Lota,60,18,18
298,20,masculino,Lota,74,71,63
299,26,prefiero no decirlo,Lota,14,46,39
300,27,prefiero no decirlo,Arauco,96,57,81
301,26,prefiero no decirlo,Coronel,3,24,23
302,26,femenino,Tomé,77,18,71
303,20,femenino,Lota,42,94,24
304,29,femenino,Arauco,47,2,17
305,29,prefiero no decirlo,Coronel,66,53,18
306,20,femenino,San Pedro,83,45,22
307,28,masculino,Arauco,88,78,8
308,22,prefiero no decirlo,Coronel,41,40,40
309,18,femenino,San Pedro,48,27,29
310,29,prefiero no decirlo,Penco,14,67,72
311,27,femenino,San Pedro,55,31,63
312,28,prefiero no decirlo,Lota,96,23,77
313,21,femenino,San Pedro,74,22,87
314,25,femenino,Lota,21,89,13
315,22,femenino,San Pedro,5,6,20
316,21,prefiero no decirlo,Coronel,61,53,51
317,26,masculino,Penco,76,48,27
318,29,masculino,Penco,44,10,3
319,26,masculino,Hualpén,30,9,14
320,28,femenino,Lota,64,50,3
321,23,masculino,Tomé,28,6,65
322,29,femenino,Coronel,17,70,53
323,18,femenino,Concepción,11,64,69
324,27,prefiero no decirlo,Tomé,49,89,27
325,25,femenino,Coronel,12,47,75
326,21,masculino,Tomé,17,56,75
327,24,prefiero no decirlo,Tomé,33,95,65
328,26,prefiero no decirlo,Concepción,4,46,81
329,18,masculino,Tomé,78,54,39
330,21,masculino,Tomé,34,51,74
331,29,femenino,Lota,8,22,11
332,26,femenino,San Pedro,31,17,62
333,27,prefiero no decirlo,Arauco,1,28,81
334,26,masculino,Hualpén,55,79,41
335,25,prefiero no decirlo,Hualpén,43,37,58
336,28,masculino,Concepción,18,74,79
337,21,prefiero no decirlo,Concepción,13,91,52
338,26,femenino,Hualpén,8,93,93
339,20,prefiero no decirlo,Concepción,57,45,12
340,21,masculino,Hualpén,38,6,68
341,24,prefiero no decirlo,Hualpén,43,87,22
342,27,masculino,Concepción,58,20,16
343,18,prefiero no decirlo,Concepción,36,40,99
344,23,femenino,San Pedro,20,60,54
345,21,prefiero no decirlo,Hualpén,92,9,42
346,28,masculino,Lota,52,43,66
347,19,masculino,Lota,76,79,47
348,21,masculino,Coronel,41,6,35
349,25,masculino,Lota,13,2,18
350,23,masculino,Hualpén,81,7,86
351,24,prefiero no decirlo,Concepción,4,2,73
352,25,femenino,San Pedro,87,49,20
353,24,prefiero no decirlo,Arauco,30,72,80
354,24,prefiero no decirlo,Tomé,41,19,13
355,24,masculino,Lota,19,91,24
356,27,masculino,Tomé,94,20,80
357,20,masculino,Hualpén,21,90,75
358,28,prefiero no decirlo,Coronel,35,58,17
359,24,prefiero no decirlo,Arauco,44,33,22
360,29,masculino,Tomé,43,46,13
361,26,masculino,Coronel,23,3,62
362,29,femenino,Coronel,5,42,77
363,27,femenino,Penco,4,95,4
364,23,femenino,Tomé,2,15,99
365,29,femenino,Coronel,48,24,37
366,29,masculino,Hualpén,88,23,7
367,27,masculino,Concepción,84,36,19
368,26,prefiero no decirlo,Arauco,90,15,68
369,23,masculino,San Pedro,71,25,77
370,19,masculino,Penco,41,35,80
371,27,prefiero no decirlo,Penco,28,60,59
372,19,femenino,Concepción,66,10,53
373,19,femenino,San Pedro,43,60,39
374,23,prefiero no decirlo,Lota,7,76,33
375,19,femenino,San Pedro,26,39,59
376,18,prefiero no decirlo,San Pedro,5,87,8
377,20,masculino,Lota,53,10,45
378,19,masculino,San Pedro,31,49,35
379,27,femenino,San Pedro,20,77,95
380,27,prefiero no decirlo,Arauco,17,73,46
381,21,masculino,Coronel,42,55,4
382,25,masculino,San Pedro,36,10,56
383,28,prefiero no decirlo,Lota,79,74,81
384,26,prefiero no decirlo,Hualpén,46,1,40
385,25,prefiero no decirlo,Coronel,19,53,69
386,26,prefiero no decirlo,San Pedro,98,74,52
387,21,femenino,San Pedro,39,81,40
388,29,prefiero no decirlo,Hualpén,60,84,59
389,21,masculino,Hualpén,9,31,91
390,23,femenino,Tomé,84,38,4
391,28,masculino,Hualpén,7,84,76
392,23,prefiero no decirlo,Penco,5,39,86
393,18,femenino,Hualpén,62,7,80
394,23,prefiero no decirlo,Arauco,1,51,50
395,28,masculino,Lota,51,89,54
396,20,femenino,Lota,54,84,34
397,21,femenino,Lota,39,63,48
398,28,prefiero no decirlo,Coronel,71,46,58
399,20,femenino,Coronel,87,84,6
400,27,prefiero no decirlo,Arauco,19,89,25
401,18,femenino,Lota,92,36,13
402,28,prefiero no decirlo,Lota,19,83,9
403,20,femenino,San Pedro,49,33,25
404,27,femenino,Concepción,7,78,37
405,25,femenino,Tomé,16,60,78
406,27,prefiero no decirlo,Penco,5,13,31
407,19,prefiero no decirlo,Lota,19,79,46
408,24,masculino,Hualpén,2,25,49
409,25,masculino,San Pedro,5,89,20
410,27,prefiero no decirlo,Coronel,48,74,93
411,23,masculino,Lota,57,11,7
412,19,masculino,Penco,73,20,38
413,29,femenino,San Pedro,33,41,51
414,27,prefiero no decirlo,Lota,93,14,67
415,22,prefiero no decirlo,Tomé,68,65,66
416,25,prefiero no decirlo,Coronel,80,3,70
417,18,masculino,Coronel,16,4,68
418,23,masculino,Coronel,53,40,48
419,24,femenino,Concepción,92,96,31
420,18,femenino,Coronel,49,54,98
421,26,prefiero no decirlo,Penco,35,39,64
422,20,femenino,San Pedro,70,4,72
423,28,femenino,San Pedro,18,34,31
424,24,masculino,Penco,37,29,16
425,18,femenino,San Pedro,83,98,25
426,28,masculino,Concepción,36,19,75
427,21,prefiero no decirlo,Coronel,36,71,64
428,19,prefiero no decirlo,Penco,2,76,48
429,27,masculino,Lota,94,21,38
430,27,prefiero no decirlo,Lota,61,53,26
431,25,femenino,San Pedro,39,66,66
432,23,masculino,Penco,25,7,31
433,24,femenino,Concepción,52,37,56
434,25,masculino,Arauco,14,28,55
435,22,prefiero no decirlo,Concepción,28,69,78
436,21,masculino,San Pedro,2,66,45
437,27,masculino,San Pedro,74,53,72
438,29,femenino,Coronel,44,85,6
439,21,femenino,Arauco,63,12,93
440,26,prefiero no decirlo,Hualpén,41,70,89
441,29,femenino,Arauco,18,61,90
442,24,prefiero no decirlo,Coronel,85,71,21
443,24,femenino,Concepción,63,60,64
444,28,masculino,Coronel,70,77,1
445,27,masculino,Tomé,72,90,85
446,27,prefiero no decirlo,Hualpén,76,42,46
447,23,prefiero no decirlo,Arauco,96,81,7
448,19,prefiero no decirlo,Coronel,65,7,35
449,29,femenino,Tomé,25,19,21
450,26,masculino,Penco,76,64,98
451,23,masculino,Tomé,42,82,9
452,25,femenino,Tomé,59,64,96
453,26,prefiero no decirlo,Hualpén,15,25,65
454,21,masculino,Concepción,64,84,31
455,25,prefiero no decirlo,Hualpén,76,36,42
456,21,prefiero no decirlo,Coronel,34,29,54
457,26,femenino,Coronel,82,40,22
458,19,prefiero no decirlo,Penco,1,5,12
459,21,prefiero no decirlo,Coronel,84,28,58
460,28,femenino,Concepción,62,22,21
461,27,prefiero no decirlo,San Pedro,4,48,97
462,20,prefiero no decirlo,Tomé,8,46,71
463,21,prefiero no decirlo,Tomé,1,65,1
464,26,femenino,Hualpén,87,40,52
465,22,prefiero no decirlo,Concepción,40,59,56
466,22,masculino,Hualpén,76,43,21
467,18,prefiero no decirlo,Coronel,19,27,7
468,25,femenino,Coronel,20,63,15
469,19,masculino,Concepción,51,30,34
470,21,femenino,Penco,73,41,88
471,29,prefiero no decirlo,San Pedro,23,90,20
472,22,femenino,Hualpén,71,71,52
473,21,masculino,San Pedro,82,61,81
474,22,prefiero no decirlo,Coronel,23,76,15
475,21,prefiero no decirlo,Hualpén,33,17,54
476,27,prefiero no decirlo,Concepción,48,11,79
477,29,femenino,Coronel,64,85,89
478,23,prefiero no decirlo,San Pedro,52,77,24
479,25,prefiero no decirlo,San Pedro,51,17,39
480,20,masculino,Concepción,46,70,75
481,19,masculino,Concepción,66,68,30
482,29,masculino,Hualpén,51,4,23
483,22,prefiero no decirlo,Hualpén,72,20,35
484,25,prefiero no decirlo,Coronel,98,62,40
485,27,prefiero no decirlo,Penco,77,29,10
486,18,prefiero no decirlo,San Pedro,82,68,41
487,22,prefiero no decirlo,Penco,81,48,32
488,22,masculino,Lota,9,21,3
489,24,femenino,Arauco,89,9,94
490,18,masculino,Tomé,81,26,56
491,20,femenino,Hualpén,72,73,6
492,22,femenino,San Pedro,99,85,19
493,25,masculino,Penco,67,14,18
494,22,prefiero no decirlo,San Pedro,43,19,11
495,20,femenino,Penco,93,13,15
496,29,femenino,Tomé,21,50,54
497,24,femenino,Concepción,96,25,65
498,23,femenino,Coronel,39,94,71
499,21,prefiero no decirlo,Penco,26,85,85
500,20,prefiero no decirlo,Tomé,63,16,11
501,21,masculino,Hualpén,99,95,92
502,26,masculino,Arauco,3,12,79
503,26,masculino,Tomé,21,7,15
504,25,masculino,Penco,90,17,47
505,21,prefiero no decirlo,Lota,73,80,62
506,29,prefiero no decirlo,Lota,75,60,62
507,24,prefiero no decirlo,Lota,71,98,22
508,26,masculino,Arauco,15,2,6
509,29,masculino,Arauco,70,81,45
510,26,masculino,Lota,26,37,63
511,23,masculino,Penco,56,9,46
512,27,femenino,Lota,62,27,33
513,20,prefiero no decirlo,Lota,78,59,62
514,25,masculino,Concepción,95,79,81
515,19,masculino,Coronel,14,6,34
516,21,femenino,Concepción,10,93,54
517,25,prefiero no decirlo,Arauco,61,7,4
518,26,prefiero no decirlo,Arauco,16,45,70
519,20,masculino,Concepción,84,81,16
520,29,femenino,Concepción,11,42,51
521,18,masculino,Tomé,54,37,61
522,29,femenino,Arauco,22,6,51
523,23,masculino,Arauco,56,41,87
524,22,femenino,Hualpén,74,26,9
525,21,masculino,Penco,1,40,44
526,21,femenino,San Pedro,16,73,1
527,22,prefiero no decirlo,Concepción,43,79,81
528,22,femenino,Coronel,3,6,28
529,19,femenino,Lota,72,89,59
530,19,femenino,San Pedro,19,35,89
531,26,prefiero no decirlo,Arauco,22,61,48
532,28,femenino,Tomé,78,45,28
533,24,masculino,Lota,46,36,89
534,24,masculino,Arauco,84,71,64
535,23,masculino,Lota,26,56,78
536,22,femenino,Lota,8,76,86
537,25,femenino,Lota,16,38,53
538,21,masculino,Lota,96,50,32
539,23,femenino,Coronel,56,5,51
540,20,masculino,Concepción,1,21,22
541,24,femenino,Arauco,85,67,75
542,28,femenino,Concepción,49,61,94
543,24,prefiero no decirlo,Concepción,10,86,78
544,28,prefiero no decirlo,Hualpén,51,63,71
545,20,femenino,Tomé,35,4,78
546,27,masculino,San Pedro,33,29,63
547,23,prefiero no decirlo,Hualpén,56,91,23
548,20,femenino,Coronel,39,59,71
549,28,prefiero no decirlo,Hualpén,72,49,43
550,26,prefiero no decirlo,Concepción,83,39,73
551,23,femenino,San Pedro,72,14,3
552,25,femenino,Concepción,32,17,37
553,22,prefiero no decirlo,Hualpén,79,28,96
554,20,femenino,Arauco,35,66,26
555,20,prefiero no decirlo,Arauco,75,34,82
556,20,prefiero no decirlo,Lota,94,63,79
557,25,masculino,Concepción,69,87,46
558,26,prefiero no decirlo,Arauco,12,97,9
559,24,prefiero no decirlo,Coronel,75,49,29
560,23,femenino,Penco,55,75,86
561,25,prefiero no decirlo,San Pedro,21,7,35
562,20,femenino,Lota,19,60,95
563,19,femenino,Concepción,64,76,42
564,22,femenino,Coronel,14,28,22
565,19,masculino,San Pedro,11,21,38
566,25,femenino,Concepción,12,14,92
567,24,femenino,San Pedro,79,8,63
568,22,prefiero no decirlo,Tomé,29,95,35
569,18,prefiero no decirlo,Arauco,71,86,97
570,26,prefiero no decirlo,Tomé,80,87,51
571,27,masculino,Arauco,53,2,63
572,22,masculino,Lota,18,21,75
573,25,femenino,Concepción,94,59,19
574,24,prefiero no decirlo,Coronel,88,84,96
575,29,prefiero no decirlo,Penco,33,49,3
576,24,masculino,Concepción,13,17,29
577,28,prefiero no decirlo,Arauco,7,89,96
578,26,prefiero no decirlo,Concepción,69,64,41
579,18,prefiero no decirlo,Coronel,74,77,30
580,20,femenino,Coronel,66,65,4
581,26,masculino,Tomé,11,86,43
582,23,prefiero no decirlo,Concepción,95,87,81
583,20,masculino,Concepción,2,11,87
584,21,prefiero no decirlo,Arauco,43,83,27
585,18,masculino,Penco,98,68,82
586,28,femenino,San Pedro,82,33,16
587,28,masculino,Hualpén,98,76,20
588,21,masculino,San Pedro,6,69,17
589,19,masculino,Penco,82,50,68
590,21,prefiero no decirlo,Lota,24,43,33
591,22,prefiero no decirlo,San Pedro,3,5,64
592,27,femenino,San Pedro,80,60,18
593,21,femenino,Concepción,43,32,52
594,28,masculino,Hualpén,51,89,69
595,19,prefiero no decirlo,Concepción,60,62,23
596,26,prefiero no decirlo,Tomé,64,25,26
597,24,masculino,San Pedro,28,78,4
598,22,femenino,Lota,50,25,70
599,26,masculino,Concepción,30,10,21
600,19,femenino,Hualpén,45,36,79
601,21,prefiero no decirlo,Coronel,51,1,68
602,24,prefiero no decirlo,Concepción,17,44,26
603,25,masculino,Hualpén,31,95,2
604,26,masculino,Coronel,8,86,15
605,23,prefiero no decirlo,Coronel,40,87,77
606,20,femenino,Concepción,91,74,51
607,19,masculino,San Pedro,88,5,45
608,28,femenino,Coronel,6,31,66
609,19,masculino,Lota,1,70,80
610,26,prefiero no decirlo,Lota,63,42,49
611,26,masculino,Coronel,85,67,94
612,23,masculino,Concepción,57,70,5
613,26,masculino,Concepción,92,84,73
614,18,femenino,Tomé,44,55,94
615,25,masculino,Hualpén,6,36,21
616,18,femenino,San Pedro,70,4,58
617,18,masculino,Arauco,19,51,97
618,23,masculino,San Pedro,94,35,26
619,20,prefiero no decirlo,San Pedro,50,75,98
620,29,prefiero no decirlo,Lota,26,78,23
621,23,prefiero no decirlo,Tomé,29,78,57
622,24,prefiero no decirlo,Tomé,70,3,73
623,28,masculino,Arauco,83,5,99
624,23,femenino,Concepción,5,19,3
625,25,prefiero no decirlo,Penco,41,35,15
626,26,prefiero no decirlo,Tomé,48,5,47
627,24,femenino,Hualpén,13,27,9
628,25,femenino,Hualpén,11,44,11
629,18,prefiero no decirlo,Penco,90,91,66
630,19,femenino,Hualpén,50,25,57
631,27,prefiero no decirlo,Arauco,17,62,66
632,22,prefiero no decirlo,Coronel,4,17,30
633,27,masculino,Tomé,22,56,51
634,23,masculino,San Pedro,45,13,45
635,27,femenino,Hualpén,45,87,4
636,19,prefiero no decirlo,San Pedro,67,77,22
637,23,femenino,Hualpén,8,3,87
638,24,prefiero no decirlo,Hualpén,88,61,55
639,24,masculino,San Pedro,49,38,73
640,29,prefiero no decirlo,Arauco,84,10,16
641,22,prefiero no decirlo,Arauco,66,87,26
642,22,prefiero no decirlo,Penco,71,98,15
643,18,prefiero no decirlo,Coronel,3,6,19
644,24,femenino,Tomé,43,61,19
645,25,femenino,Hualpén,81,32,57
646,20,prefiero no decirlo,Lota,83,62,13
647,23,masculino,Penco,9,3,46
648,24,femenino,Arauco,18,28,85
649,24,prefiero no decirlo,Arauco,9,2,96
650,21,prefiero no decirlo,Penco,23,24,38
651,20,masculino,Penco,15,98,5
652,22,prefiero no decirlo,Tomé,14,81,62
653,21,masculino,Coronel,57,3,19
654,21,masculino,Penco,69,74,66
655,25,femenino,San Pedro,91,76,17
